employee_id,first_name,last_name,age,department_region,status,join_date,salary,email,phone,performance_score,remote_work
emp1049,grace,miller,,devops-new york,active,11/5/2024,61375.12,grace.miller@example.com,-1227770792,excellent,true
emp1050,charlie,davis,40.0,cloud tech-new york,pending,11/11/2021,104767.05,charlie.davis@example.com,-3496050165,excellent,false
emp1051,david,miller,35.0,admin-nevada,active,2/22/2022,111051.67,david.miller@example.com,-7998407677,good,false
emp1052,david,williams,30.0,finance-california,inactive,8/7/2024,105674.18,david.williams@example.com,-9973080694,good,false
emp1053,alice,brown,30.0,finance-california,inactive,11/5/2024,54859.45,alice.brown@example.com,-8146717956,average,false
emp1054,frank,davis,,finance-nevada,pending,11/9/2021,115746.6,frank.davis@example.com,-6024375737,excellent,true
emp1055,eva,brown,30.0,sales-california,active,8/10/2020,91759.99,eva.brown@example.com,-3959724664,excellent,true
emp1056,frank,garcia,40.0,sales-illinois,active,2/27/2022,112965.33,frank.garcia@example.com,-7293417222,good,false
emp1057,alice,smith,40.0,cloud tech-illinois,pending,11/7/2023,100360.1,alice.smith@example.com,-2971674337,excellent,false
emp1058,david,williams,35.0,finance-texas,pending,11/7/2021,93620.88,david.williams@example.com,-54522800,good,false
emp1059,bob,jones,35.0,sales-california,pending,4/16/2022,72832.8,bob.jones@example.com,-5619318373,excellent,true
emp1060,charlie,williams,30.0,finance-nevada,inactive,10/19/2023,102369.42,charlie.williams@example.com,-5508428909,average,true
emp1061,eva,davis,40.0,sales-texas,inactive,8/10/2021,64712.79,eva.davis@example.com,-7711991807,excellent,true
emp1062,frank,jones,40.0,finance-florida,pending,3/13/2021,85782.18,frank.jones@example.com,-1213524786,excellent,true
emp1063,charlie,smith,25.0,hr-illinois,pending,7/20/2023,93348.26,charlie.smith@example.com,-1255213759,poor,false
emp1064,david,davis,35.0,admin-new york,active,2/20/2020,53234.96,david.davis@example.com,-3754821455,good,false
emp1065,bob,johnson,40.0,finance-nevada,pending,2/2/2021,100284.21,bob.johnson@example.com,-5328632665,excellent,false
emp1066,grace,brown,30.0,admin-nevada,pending,1/12/2020,112486.19,grace.brown@example.com,-7850720810,excellent,true
emp1067,bob,smith,40.0,admin-new york,pending,11/26/2022,82518.49,bob.smith@example.com,-5562606028,poor,true
emp1068,bob,brown,40.0,admin-florida,pending,12/23/2022,119152.47,bob.brown@example.com,-846684549,poor,true
emp1069,heidi,miller,,devops-illinois,inactive,8/28/2024,113479.83,heidi.miller@example.com,-4892673898,good,false
emp1070,charlie,johnson,40.0,finance-california,active,9/16/2024,94636.3,charlie.johnson@example.com,-7563410855,poor,false
emp1071,heidi,johnson,30.0,hr-florida,active,1/1/2024,70000.97,heidi.johnson@example.com,-2884318847,average,true
emp1072,frank,smith,,cloud tech-new york,active,4/18/2021,76812.47,frank.smith@example.com,-5200894345,poor,false
emp1073,david,johnson,25.0,finance-florida,inactive,1/16/2023,82614.7,david.johnson@example.com,-8105485100,average,true
emp1074,grace,jones,40.0,sales-nevada,active,10/20/2024,111645.97,grace.jones@example.com,-7490753997,good,true
emp1075,heidi,johnson,25.0,hr-california,inactive,10/13/2024,112414.91,heidi.johnson@example.com,-9354492682,good,false
emp1076,david,brown,40.0,admin-california,inactive,9/21/2022,52031.74,david.brown@example.com,-1589357125,good,true
emp1077,grace,brown,30.0,finance-new york,pending,12/29/2022,51887.65,grace.brown@example.com,-6110627370,good,false
emp1078,alice,davis,25.0,devops-florida,active,11/10/2024,82318.89,alice.davis@example.com,-5869886496,good,true
emp1079,grace,brown,35.0,admin-florida,inactive,11/22/2021,103286.08,grace.brown@example.com,-6776228276,average,false
emp1080,grace,davis,35.0,cloud tech-florida,active,3/14/2024,87759.33,grace.davis@example.com,-2881377027,average,false
emp1081,frank,brown,30.0,devops-texas,pending,3/23/2020,102796.32,frank.brown@example.com,-5196115939,good,false
emp1082,david,jones,25.0,sales-new york,active,9/15/2020,83149.27,david.jones@example.com,-8215454469,poor,true
emp1083,david,garcia,40.0,devops-california,inactive,12/9/2020,92412.49,david.garcia@example.com,-2296044326,excellent,true
emp1084,bob,davis,30.0,hr-texas,pending,2/22/2020,115022.1,bob.davis@example.com,-185106793,good,false
emp1085,grace,williams,40.0,devops-new york,active,4/27/2023,98343.01,grace.williams@example.com,-9756792286,poor,false
emp1086,bob,miller,35.0,devops-illinois,active,6/18/2024,118869.1,bob.miller@example.com,-7725199662,excellent,true
emp1087,frank,smith,,finance-nevada,inactive,5/21/2020,85417.26,frank.smith@example.com,-6580741208,good,true
emp1088,grace,brown,40.0,cloud tech-florida,inactive,7/25/2023,112410.25,grace.brown@example.com,-4818139889,good,true
emp1089,charlie,johnson,40.0,admin-nevada,pending,8/25/2023,68905.77,charlie.johnson@example.com,-9837801819,average,false
emp1090,heidi,garcia,40.0,finance-nevada,pending,7/3/2021,72561.32,heidi.garcia@example.com,-4339718955,excellent,true
emp1091,bob,brown,35.0,finance-new york,inactive,3/13/2023,92723.22,bob.brown@example.com,-9070562607,excellent,true
emp1092,alice,johnson,40.0,hr-new york,inactive,3/10/2021,74837.75,alice.johnson@example.com,-5641118241,poor,false
emp1093,eva,miller,,devops-california,pending,1/21/2020,86163.91,eva.miller@example.com,-2412462094,average,true
emp1094,david,miller,40.0,finance-illinois,active,11/15/2023,83326.52,david.miller@example.com,-2004615264,average,true
emp1095,heidi,miller,25.0,cloud tech-california,active,4/8/2022,98425.1,heidi.miller@example.com,-4610339936,average,true
emp1096,frank,johnson,40.0,sales-illinois,inactive,5/21/2022,119764.2,frank.johnson@example.com,-8861405785,average,false
emp1097,frank,brown,40.0,hr-california,inactive,4/17/2021,58445.91,frank.brown@example.com,-1706304890,excellent,false
emp1098,bob,miller,,devops-new york,active,3/19/2021,101702.33,bob.miller@example.com,-3824967182,excellent,false
emp1099,eva,jones,25.0,admin-california,active,1/9/2022,,eva.jones@example.com,-2582386869,good,false
emp1100,charlie,davis,35.0,cloud tech-texas,pending,8/21/2021,98819.22,charlie.davis@example.com,-794200748,good,false
emp1101,heidi,johnson,25.0,cloud tech-illinois,inactive,8/19/2022,83509.99,heidi.johnson@example.com,-4653984027,average,false
emp1102,alice,johnson,35.0,finance-texas,active,3/31/2022,84422.26,alice.johnson@example.com,-9141612845,average,false
emp1103,alice,brown,30.0,admin-illinois,inactive,6/23/2020,119574.27,alice.brown@example.com,-3985547434,average,true
emp1104,grace,johnson,,sales-illinois,active,5/7/2024,86580.08,grace.johnson@example.com,-5379502096,good,true
emp1105,heidi,johnson,35.0,sales-florida,inactive,3/10/2023,93471.91,heidi.johnson@example.com,-26876810,poor,false
emp1106,bob,miller,30.0,devops-new york,inactive,9/14/2023,55683.12,bob.miller@example.com,-8071569561,poor,true
emp1107,bob,brown,30.0,cloud tech-florida,inactive,11/12/2023,91566.78,bob.brown@example.com,-175370303,good,true
emp1108,david,miller,35.0,devops-california,pending,10/26/2024,81782.19,david.miller@example.com,-5319433749,good,false
emp1109,eva,davis,,devops-new york,inactive,8/23/2020,88119.37,eva.davis@example.com,-4793036148,good,true
emp1110,eva,garcia,30.0,cloud tech-texas,active,6/11/2024,71532.83,eva.garcia@example.com,-8728399920,good,true
emp1111,eva,davis,40.0,cloud tech-florida,pending,9/14/2021,98981.36,eva.davis@example.com,-9212493842,good,true
emp1112,heidi,garcia,40.0,cloud tech-illinois,active,12/26/2024,80242.01,heidi.garcia@example.com,-894870604,good,true
emp1113,eva,miller,25.0,cloud tech-new york,pending,9/8/2024,110236.18,eva.miller@example.com,-6641877579,average,true
emp1114,alice,davis,35.0,sales-texas,active,8/21/2022,86327.47,alice.davis@example.com,-3046875062,average,false
emp1115,eva,brown,30.0,sales-florida,pending,7/25/2024,84420.81,eva.brown@example.com,-5190361331,average,false
emp1116,frank,smith,40.0,hr-california,pending,8/2/2020,110041.32,frank.smith@example.com,-5411076094,average,false
emp1117,heidi,miller,35.0,devops-florida,pending,3/16/2020,81837.81,heidi.miller@example.com,-4317350582,good,true
emp1118,frank,garcia,25.0,finance-illinois,active,9/8/2023,110855.72,frank.garcia@example.com,-1997179109,poor,false
emp1119,alice,jones,30.0,sales-california,pending,3/29/2024,84894.52,alice.jones@example.com,-651207048,excellent,true
emp1120,alice,garcia,30.0,hr-illinois,active,8/12/2021,80668.13,alice.garcia@example.com,-6110804660,good,true
emp1121,bob,jones,25.0,devops-illinois,active,12/24/2023,61086.47,bob.jones@example.com,-9639907675,excellent,true
emp1122,grace,johnson,25.0,admin-texas,inactive,8/28/2020,95339.68,grace.johnson@example.com,-9915078592,poor,true
emp1123,eva,davis,,devops-california,inactive,9/5/2024,83774.97,eva.davis@example.com,-1109193927,average,false
emp1124,heidi,jones,,admin-florida,active,5/12/2023,85576.86,heidi.jones@example.com,-4567972319,poor,false
emp1125,bob,garcia,35.0,finance-california,pending,7/1/2021,107438.46,bob.garcia@example.com,-249685497,good,true
emp1126,eva,johnson,,sales-nevada,inactive,11/7/2024,60401.68,eva.johnson@example.com,-2274954507,average,false
emp1127,frank,smith,35.0,sales-illinois,inactive,7/21/2022,115299.66,frank.smith@example.com,-9203880652,good,true
emp1128,david,brown,,finance-new york,inactive,3/30/2020,72272.34,david.brown@example.com,-3315377958,average,false
emp1129,grace,brown,40.0,devops-nevada,active,10/11/2022,117537.71,grace.brown@example.com,-9594652169,excellent,false
emp1130,frank,brown,25.0,finance-texas,pending,7/24/2022,51074.33,frank.brown@example.com,-7303379336,excellent,true
emp1131,charlie,jones,25.0,finance-california,inactive,6/30/2023,98489.32,charlie.jones@example.com,-5636205014,excellent,false
emp1132,frank,smith,,finance-california,pending,1/11/2024,112120.71,frank.smith@example.com,-812473949,poor,true
emp1133,alice,jones,,cloud tech-new york,pending,11/2/2023,114465.04,alice.jones@example.com,-334234257,good,false
emp1134,bob,davis,40.0,cloud tech-nevada,pending,11/22/2024,57035.51,bob.davis@example.com,-3230241025,poor,true
emp1135,eva,jones,25.0,cloud tech-california,active,8/23/2021,75092.43,eva.jones@example.com,-1534735527,excellent,true
emp1136,david,smith,,finance-illinois,pending,6/11/2024,62603.98,david.smith@example.com,-9611223385,good,false
emp1137,grace,smith,,devops-new york,inactive,4/9/2023,60018.24,grace.smith@example.com,-5596309937,excellent,false
emp1138,eva,davis,40.0,hr-nevada,active,7/5/2024,82567.73,eva.davis@example.com,-4253042896,poor,true
emp1139,charlie,smith,25.0,finance-california,pending,9/4/2021,94725.71,charlie.smith@example.com,-3179128684,poor,false
emp1140,eva,garcia,40.0,hr-new york,inactive,10/13/2024,83824.56,eva.garcia@example.com,-7872558776,poor,false
emp1141,frank,smith,,hr-nevada,inactive,2/14/2020,118456.11,frank.smith@example.com,-4969033372,excellent,true
emp1142,eva,brown,25.0,sales-nevada,pending,4/10/2020,113743.19,eva.brown@example.com,-6346692547,good,true
emp1143,eva,garcia,30.0,sales-california,active,7/27/2023,63309.24,eva.garcia@example.com,-1214785389,good,false
emp1144,charlie,garcia,25.0,devops-nevada,active,9/24/2021,105202.73,charlie.garcia@example.com,-7895677664,excellent,true
emp1145,frank,davis,30.0,cloud tech-california,inactive,3/10/2024,79085.22,frank.davis@example.com,-7546027340,good,true
emp1146,frank,williams,,sales-california,active,6/10/2021,113983.43,frank.williams@example.com,-5148881430,excellent,true
emp1147,eva,williams,35.0,cloud tech-florida,active,10/15/2020,102790.6,eva.williams@example.com,-1150835353,good,false
emp1148,grace,smith,,hr-texas,inactive,1/29/2020,68512.1,grace.smith@example.com,-4439284043,average,false
emp1149,frank,garcia,35.0,sales-florida,pending,1/30/2022,57584.23,frank.garcia@example.com,-5669078262,average,true
emp1150,alice,williams,,sales-california,pending,3/29/2021,95335.67,alice.williams@example.com,-3373898774,poor,false
emp1151,heidi,williams,35.0,devops-florida,active,10/13/2020,53174.28,heidi.williams@example.com,-1536637779,average,true
emp1152,heidi,smith,25.0,cloud tech-new york,pending,10/4/2020,77205.21,heidi.smith@example.com,-5292407552,average,false
emp1153,grace,williams,,devops-nevada,active,12/18/2024,79041.92,grace.williams@example.com,-6668459089,average,true
emp1154,heidi,jones,,finance-california,active,11/14/2023,75937.1,heidi.jones@example.com,-2259999662,excellent,true
emp1155,david,johnson,35.0,cloud tech-nevada,inactive,1/20/2023,113118.73,david.johnson@example.com,-6186371596,average,false
emp1156,alice,davis,40.0,hr-new york,active,10/2/2024,107693.38,alice.davis@example.com,-4121820969,average,true
emp1157,david,johnson,,cloud tech-texas,inactive,5/13/2021,119217.46,david.johnson@example.com,-2316433480,poor,false
emp1158,david,smith,25.0,sales-new york,pending,3/18/2021,106913.71,david.smith@example.com,-7058025661,average,false
emp1159,charlie,brown,,cloud tech-california,active,9/23/2020,87815.08,charlie.brown@example.com,-1286716322,average,true
emp1160,bob,davis,25.0,admin-texas,inactive,6/5/2024,105190.21,bob.davis@example.com,-4672994937,good,true
emp1161,alice,smith,30.0,hr-texas,active,2/28/2024,79467.24,alice.smith@example.com,-7430271692,poor,false
emp1162,bob,garcia,40.0,finance-california,pending,4/30/2023,57633.78,bob.garcia@example.com,-8597779013,poor,true
emp1163,alice,brown,,hr-florida,pending,3/4/2020,54257.78,alice.brown@example.com,-7546926328,poor,true
emp1164,grace,johnson,40.0,devops-texas,inactive,12/29/2023,113679.06,grace.johnson@example.com,-6762916031,poor,true
emp1165,bob,smith,35.0,sales-new york,active,9/15/2020,69251.12,bob.smith@example.com,-4841376814,poor,true
emp1166,frank,garcia,40.0,sales-illinois,inactive,7/18/2022,85388.58,frank.garcia@example.com,-1185672437,poor,true
emp1167,bob,davis,,devops-new york,inactive,7/13/2022,112166.37,bob.davis@example.com,-701765635,excellent,false
emp1168,heidi,davis,40.0,finance-nevada,active,10/2/2021,79873.48,heidi.davis@example.com,-41257770,average,false
emp1169,frank,miller,30.0,devops-florida,active,7/5/2020,108224.03,frank.miller@example.com,-1837274219,poor,true
emp1170,bob,garcia,35.0,admin-illinois,active,4/16/2023,116963.72,bob.garcia@example.com,-9124186209,average,true
emp1171,bob,jones,40.0,hr-nevada,inactive,11/12/2024,114109.06,bob.jones@example.com,-4275230836,average,true
emp1172,eva,williams,,hr-california,active,3/29/2023,85518.88,eva.williams@example.com,-816470899,excellent,false
emp1173,heidi,brown,30.0,cloud tech-california,pending,1/22/2022,58041.97,heidi.brown@example.com,-6335331059,poor,true
emp1174,david,garcia,40.0,sales-illinois,pending,10/14/2023,94988.94,david.garcia@example.com,-531312205,good,false
emp1175,eva,miller,25.0,admin-california,pending,4/10/2024,71628.93,eva.miller@example.com,-8155839385,excellent,false
emp1176,alice,williams,30.0,admin-illinois,pending,3/31/2022,54870.98,alice.williams@example.com,-6133155205,good,false
emp1177,alice,williams,25.0,devops-illinois,active,2/9/2022,79388.27,alice.williams@example.com,-5063731494,average,true
emp1178,frank,smith,35.0,devops-california,pending,5/6/2023,55946.99,frank.smith@example.com,-136497188,average,false
emp1179,charlie,williams,,cloud tech-nevada,active,7/11/2021,81017.91,charlie.williams@example.com,-2419562524,excellent,true
emp1180,heidi,jones,40.0,hr-new york,pending,8/21/2020,74162.1,heidi.jones@example.com,-7150997682,excellent,false
emp1181,heidi,davis,,devops-california,active,3/27/2021,77668.44,heidi.davis@example.com,-8903091435,good,true
emp1182,alice,miller,30.0,hr-new york,active,4/14/2024,67886.37,alice.miller@example.com,-3910257431,poor,false
emp1183,alice,williams,40.0,devops-florida,active,9/21/2020,76614.52,alice.williams@example.com,-6303975244,good,true
emp1184,frank,smith,25.0,finance-nevada,active,6/12/2022,51311.91,frank.smith@example.com,-864035532,excellent,false
emp1185,frank,jones,,finance-illinois,inactive,12/24/2023,94809.92,frank.jones@example.com,-8033968526,good,true
emp1186,grace,johnson,25.0,hr-new york,pending,7/31/2022,108241.81,grace.johnson@example.com,-171302320,excellent,true
emp1187,bob,davis,40.0,cloud tech-new york,inactive,4/21/2023,78031.49,bob.davis@example.com,-2983381673,good,true
emp1188,eva,davis,35.0,admin-california,active,6/5/2020,85733.83,eva.davis@example.com,-2336293448,excellent,true
emp1189,david,miller,35.0,hr-nevada,pending,7/27/2024,60338.29,david.miller@example.com,-7347156626,excellent,false
emp1190,eva,davis,30.0,admin-illinois,active,4/5/2024,103140.67,eva.davis@example.com,-7689627065,excellent,false
emp1191,heidi,williams,40.0,sales-illinois,inactive,10/26/2023,114690.8,heidi.williams@example.com,-1498282466,poor,true
emp1192,frank,smith,35.0,admin-florida,active,8/18/2022,80954.56,frank.smith@example.com,-4746897151,good,false
emp1193,eva,davis,,cloud tech-california,pending,5/31/2020,71728.55,eva.davis@example.com,-7323008575,good,true
emp1194,alice,davis,35.0,hr-texas,pending,11/4/2024,118415.8,alice.davis@example.com,-6656749159,good,true
emp1195,grace,johnson,40.0,sales-illinois,pending,3/25/2020,81481.36,grace.johnson@example.com,-1692364586,excellent,false
emp1196,david,johnson,35.0,sales-florida,pending,11/4/2020,117040.57,david.johnson@example.com,-5066337049,good,true
emp1197,frank,brown,25.0,sales-nevada,active,3/21/2020,67342.06,frank.brown@example.com,-2497243991,good,true
emp1198,heidi,jones,,sales-illinois,active,1/15/2022,76099.64,heidi.jones@example.com,-116691835,excellent,false
emp1199,grace,williams,35.0,devops-illinois,active,6/4/2024,94162.06,grace.williams@example.com,-2644886945,average,true
emp1200,frank,davis,25.0,sales-nevada,inactive,8/4/2021,67639.7,frank.davis@example.com,-1195243639,excellent,true
emp1201,charlie,garcia,35.0,cloud tech-illinois,pending,10/16/2020,114172.25,charlie.garcia@example.com,-2701168645,good,true
emp1202,grace,davis,30.0,sales-nevada,active,9/26/2021,89124.54,grace.davis@example.com,-2252237280,excellent,true
emp1203,frank,smith,30.0,devops-nevada,pending,11/4/2023,113871.36,frank.smith@example.com,-7932302345,average,false
emp1204,grace,brown,,hr-texas,inactive,9/24/2021,62618.4,grace.brown@example.com,-7912141613,excellent,false
emp1205,heidi,jones,30.0,admin-new york,active,6/7/2020,70705.45,heidi.jones@example.com,-1509377099,good,false
emp1206,alice,garcia,35.0,sales-new york,pending,2/10/2022,60797.69,alice.garcia@example.com,-4090138068,average,true
emp1207,charlie,brown,40.0,cloud tech-florida,inactive,10/17/2023,100371.0,charlie.brown@example.com,-8477596554,poor,true
emp1208,eva,miller,40.0,admin-illinois,active,9/25/2021,117591.76,eva.miller@example.com,-5356690550,good,false
emp1209,david,jones,35.0,devops-illinois,inactive,8/3/2022,103860.7,david.jones@example.com,-762091842,average,true
emp1210,grace,davis,30.0,admin-illinois,active,11/22/2024,67500.22,grace.davis@example.com,-5797863049,average,true
emp1211,frank,davis,,cloud tech-nevada,pending,10/9/2024,58727.44,frank.davis@example.com,-5057397690,poor,true
emp1212,charlie,jones,35.0,finance-illinois,active,8/28/2024,80623.08,charlie.jones@example.com,-5671649327,excellent,true
emp1213,david,davis,40.0,hr-texas,inactive,4/19/2020,77751.78,david.davis@example.com,-9802714871,excellent,false
emp1214,grace,williams,25.0,hr-new york,active,10/14/2021,115157.81,grace.williams@example.com,-7178333210,good,false
emp1215,frank,jones,30.0,admin-texas,inactive,8/26/2024,83071.85,frank.jones@example.com,-6025643470,poor,false
emp1216,heidi,brown,40.0,sales-texas,active,2/8/2020,67914.67,heidi.brown@example.com,-2871539914,excellent,true
emp1217,grace,jones,25.0,hr-new york,inactive,9/6/2020,53342.46,grace.jones@example.com,-6686334140,poor,false
emp1218,heidi,garcia,25.0,cloud tech-florida,pending,1/2/2023,51150.47,heidi.garcia@example.com,-1159319524,excellent,false
emp1219,david,davis,30.0,hr-florida,active,6/13/2023,74697.12,david.davis@example.com,-6904098365,average,true
emp1220,charlie,williams,25.0,sales-california,active,12/13/2022,88085.74,charlie.williams@example.com,-5528993159,excellent,true
emp1221,alice,williams,40.0,finance-texas,pending,3/3/2022,118672.76,alice.williams@example.com,-8752437728,poor,false
emp1222,alice,miller,35.0,cloud tech-california,active,2/10/2024,95997.31,alice.miller@example.com,-4209548148,average,false
emp1223,frank,brown,30.0,cloud tech-california,pending,11/24/2021,106945.62,frank.brown@example.com,-7374605232,average,false
emp1224,heidi,johnson,40.0,devops-new york,active,5/9/2020,100123.15,heidi.johnson@example.com,-276420864,average,false
emp1225,alice,johnson,35.0,admin-texas,active,12/19/2024,52933.42,alice.johnson@example.com,-6756618442,poor,true
emp1226,grace,jones,,finance-california,active,3/22/2024,95283.03,grace.jones@example.com,-8612590471,good,false
emp1227,alice,miller,35.0,hr-texas,inactive,6/13/2022,112264.06,alice.miller@example.com,-9277423329,good,false
emp1228,grace,smith,35.0,admin-florida,pending,10/15/2022,75714.28,grace.smith@example.com,-5912662014,good,true
emp1229,eva,jones,25.0,devops-florida,active,5/31/2022,92171.73,eva.jones@example.com,-7201859625,poor,false
emp1230,eva,miller,35.0,cloud tech-texas,inactive,9/15/2023,70694.8,eva.miller@example.com,-3013674925,average,true
emp1231,grace,brown,30.0,devops-florida,inactive,7/4/2022,52964.86,grace.brown@example.com,-1764750110,good,true
emp1232,frank,brown,,finance-california,pending,6/8/2024,116353.31,frank.brown@example.com,-1783099973,poor,true
emp1233,grace,brown,35.0,sales-nevada,pending,11/23/2020,116695.26,grace.brown@example.com,-1926764920,good,false
emp1234,heidi,brown,25.0,admin-texas,active,5/13/2024,95161.4,heidi.brown@example.com,-5182606887,excellent,false
emp1235,alice,brown,,admin-nevada,inactive,1/29/2022,76040.94,alice.brown@example.com,-7189813128,good,true
emp1236,charlie,miller,,hr-florida,inactive,8/23/2023,69508.28,charlie.miller@example.com,-2087510292,good,false
emp1237,alice,miller,30.0,finance-illinois,inactive,2/24/2023,58243.27,alice.miller@example.com,-2184011844,average,false
emp1238,heidi,williams,30.0,sales-california,pending,10/2/2022,64012.48,heidi.williams@example.com,-8260340847,poor,true
emp1239,bob,garcia,40.0,admin-nevada,inactive,6/28/2020,106735.93,bob.garcia@example.com,-7297585987,average,true
emp1240,frank,johnson,35.0,devops-texas,pending,1/15/2023,70325.36,frank.johnson@example.com,-3103032431,average,false
emp1241,charlie,davis,30.0,hr-illinois,active,9/5/2020,118959.28,charlie.davis@example.com,-9839542960,average,true
emp1242,david,brown,40.0,cloud tech-california,pending,3/18/2023,75823.78,david.brown@example.com,-8446267145,average,false
